species,acoustic_index,pearson_r,pearson_p,spearman_r,spearman_p,station
Oyster toadfish boat whistle,TFSD,0.0663698141040652,1.133389135395345e-05,0.05189974288139756,0.0006004107450229371,14M
Oyster toadfish boat whistle,H_Havrda,0.08001887134976444,1.1869498775241898e-07,-0.05684494028511621,0.00017066580900211743,14M
Oyster toadfish boat whistle,H_Renyi,0.009890413090306626,0.5134374241576914,-0.06572971718405417,1.3764086302865556e-05,14M
Oyster toadfish boat whistle,H_pairedShannon,0.08316160463360442,3.7088254831462836e-08,0.0033425731457978887,0.8252085464654308,14M
Oyster toadfish boat whistle,H_gamma,0.06697431221411465,9.419089043467985e-06,0.023906849608488243,0.11415325262367439,14M
Oyster toadfish boat whistle,H_GiniSimpson,0.09112591456840985,1.6052437927018515e-09,-0.038143130565606385,0.01169860479571151,14M
Oyster toadfish boat whistle,RAOQ,0.12687279909578553,3.870315760781706e-17,0.10203241601781189,1.3882812762295088e-11,14M
Oyster toadfish boat whistle,AGI,0.2560962210356238,2.2917811793862325e-66,0.2468893405537061,1.155935407069216e-61,14M
Oyster toadfish boat whistle,nROI,-0.019849318056498998,0.18965108981996673,-0.03343817170595149,0.027109151900789587,14M
Oyster toadfish boat whistle,aROI,-0.1375998418789705,6.542550936578037e-20,-0.14177493451309114,4.733738280008473e-21,14M
Bottlenose dolphin echolocation,File,-0.017385806736952895,0.2506381960804382,-0.022621866501195263,0.1349505457430355,14M
Bottlenose dolphin echolocation,Black drum,-0.005031425136735778,0.7395584905293563,-0.0066260692338293604,0.6615298261804599,14M
Bottlenose dolphin echolocation,Bottlenose dolphin burst pulses,0.4497019986811298,1.6800979195801076e-216,0.43529822805151164,1.8560013473130852e-201,14M
Bottlenose dolphin echolocation,Bottlenose dolphin whistles,0.09602904014470692,2.0237831672055852e-10,0.16216617089922924,4.004327512806494e-27,14M
Bottlenose dolphin echolocation,ZCR,-0.027978607359178766,0.06446322205057735,0.00048385249496531353,0.9744967165326277,14M
Bottlenose dolphin echolocation,MEANt,0.0028726571927302643,0.8494639762614533,0.021584947189500082,0.15377446617289856,14M
Bottlenose dolphin echolocation,VARt,0.00695750439951684,0.6457306276687991,0.0017324937979634218,0.9088657845594126,14M
Bottlenose dolphin echolocation,SKEWt,-0.01335133298423775,0.37767533127938946,-0.010699959619050991,0.4795744153065985,14M
Bottlenose dolphin echolocation,KURTt,0.01614235562238077,0.28614071291308685,0.000693801884628245,0.9634371109276038,14M
Bottlenose dolphin echolocation,LEQt,0.017756537893892855,0.2406750269442022,-0.0013126256916009152,0.9308879173265714,14M
Bottlenose dolphin echolocation,BGNt,0.023076091844395137,0.127287788947443,0.004345850235327945,0.7740050708638991,14M
Bottlenose dolphin echolocation,SNRt,-0.05771068261672177,0.00013550241836651132,-0.026992940235314036,0.07445605904931461,14M
Bottlenose dolphin echolocation,MED,0.0361796296824285,0.01679153521590595,0.0030326223850253584,0.8411899089239498,14M
Bottlenose dolphin echolocation,Ht,0.003955603287129839,0.7938184717756332,0.0038209115260882643,0.8006886791775437,14M
Bottlenose dolphin echolocation,ACTtFraction,-0.031777985228235106,0.03571448627783492,-0.011972785069001101,0.4288895033542641,14M
